1843F2 | Omsk Metro (hard version),https://codeforces.com/problemset/problem/1843/F2,"data structures,dfs and similar,dp,math,trees"
1843F1 | Omsk Metro (simple version),https://codeforces.com/problemset/problem/1843/F1,"data structures,dfs and similar,dp,greedy,math,trees"
1843E | Tracking Segments,https://codeforces.com/problemset/problem/1843/E,"binary search,brute force,data structures,two pointers"
1843D | Apple Tree,https://codeforces.com/problemset/problem/1843/D,"combinatorics,dfs and similar,dp,math,trees"
1843C | Sum in Binary Tree,https://codeforces.com/problemset/problem/1843/C,"bitmasks,combinatorics,math,trees"
1843B | Long Long,https://codeforces.com/problemset/problem/1843/B,"greedy,math,two pointers"
1843A | Sasha and Array Coloring,https://codeforces.com/problemset/problem/1843/A,"greedy,sortings,two pointers"
1841F | Monocarp and a Strategic Game,https://codeforces.com/problemset/problem/1841/F,"geometry,sortings,two pointers"
1841E | Fill the Matrix,https://codeforces.com/problemset/problem/1841/E,"data structures,greedy,math"
1841D | Pairs of Segments,https://codeforces.com/problemset/problem/1841/D,"data structures,greedy,sortings,two pointers"
1841C | Ranom Numbers,https://codeforces.com/problemset/problem/1841/C,"brute force,dp,greedy,math,strings"
1841B | Keep it Beautiful,https://codeforces.com/problemset/problem/1841/B,implementation
1841A | Game with Board,https://codeforces.com/problemset/problem/1841/A,"constructive algorithms,games"
1840G2 | In Search of Truth (Hard Version),https://codeforces.com/problemset/problem/1840/G2,"constructive algorithms,interactive,math,meet-in-the-middle,probabilities"
1840G1 | In Search of Truth (Easy Version),https://codeforces.com/problemset/problem/1840/G1,"constructive algorithms,interactive,math,meet-in-the-middle,probabilities"
1840F | Railguns,https://codeforces.com/problemset/problem/1840/F,"brute force,dfs and similar,dp,graphs"
1840E | Character Blocking,https://codeforces.com/problemset/problem/1840/E,"data structures,hashing,implementation"
1840D | Wooden Toy Festival,https://codeforces.com/problemset/problem/1840/D,"binary search,greedy,sortings"
1840C | Ski Resort,https://codeforces.com/problemset/problem/1840/C,"combinatorics,math,two pointers"
1840B | Binary Cafe,https://codeforces.com/problemset/problem/1840/B,"bitmasks,combinatorics,math"
